"TRANSCRIPT","MOCHIS","VARIANCE_RATIO","TISSUE"
"ENSMUSG00000090862",7.71937770873488e-06,7.96753598598738,"aorta"
"ENSMUSG00000060743",0.0028925145752328,8.3053162923171,"aorta"
"ENSMUSG00000022108",0.00158052005137233,4.45745737097228,"aorta"
"ENSMUSG00000004207",0.00140924873467059,3.86392229794781,"aorta"
"ENSMUSG00000003970",0.0100014460131753,6.51988576833112,"aorta"
"ENSMUSG00000058546",0.00546633010767752,11.2061736714647,"aorta"
"ENSMUSG00000032399",0.00043696452657608,6.23226985378995,"aorta"
"ENSMUSG00000037706",0.00208947938411379,6.93629094226753,"aorta"
"ENSMUSG00000030432",0.0112643792418342,3.417675531033,"aorta"
"ENSMUSG00000027447",2.3474720542671e-07,1.78306653040485,"aorta"
"ENSMUSG00000020372",1.10648540432603e-05,10.9817883118139,"aorta"
"ENSMUSG00000018293",6.02513109332831e-06,8.13651359190138,"aorta"
"ENSMUSG00000047215",0.000317614873036313,6.99004335278439,"aorta"
"ENSMUSG00000034994",0.00372786433196008,1.97970871938964,"aorta"
"ENSMUSG00000035202",0.00140311748487651,3.45065707512393,"aorta"
"ENSMUSG00000061477",0.00010150237229348,12.7095864793035,"aorta"
"ENSMUSG00000031320",0.00802887147060108,5.55318902419349,"aorta"
"ENSMUSG00000030695",0.00759934016835839,4.09440020060406,"aorta"
"ENSMUSG00000038274",0.000434433826026878,2.32933723538146,"aorta"
"ENSMUSG00000032518",0.0110975995190427,13.275868352102,"aorta"
"ENSMUSG00000057666",0.0022122125668302,8.22606053504276,"aorta"
"ENSMUSG00000028081",0.00496246096786867,11.7231045499851,"aorta"
"ENSMUSG00000052146",1.00694134217549e-06,10.4960242582729,"aorta"
"ENSMUSG00000012405",0.004552086116082,4.554902993382,"aorta"
"ENSMUSG00000036438",0.00735907371539126,14.5903610685888,"aorta"
"ENSMUSG00000075602",0.00137586071870442,6.39925420453068,"aorta"
"ENSMUSG00000026547",0.00148783738657778,10.7378529890975,"aorta"
"ENSMUSG00000092341",1.29144622776094e-08,1.35092698426278,"aorta"
"ENSMUSG00000026878",0.000375351973657538,1.73590472596587,"bladder-lumen"
"ENSMUSG00000020570",2.76096492700773e-06,1.99334051355186,"bladder-lumen"
"ENSMUSG00000068882",1.27528255056629e-07,1.23618941786232,"bladder-lumen"
"ENSMUSG00000022451",0.00199651198063714,2.58005103288366,"bladder-lumen"
"ENSMUSG00000032231",5.37134243271073e-12,1.21835874042504,"bladder-lumen"
"ENSMUSG00000024425",5.14867067126871e-10,1.71902544775698,"bladder-lumen"
"ENSMUSG00000020390",4.42944266716051e-06,1.18541712973389,"bladder-lumen"
"ENSMUSG00000029684",6.68216594485285e-07,3.81532705825259,"bladder-lumen"
"ENSMUSG00000030057",2.51406487709617e-22,1.29063572883516,"bladder-lumen"
"ENSMUSG00000060803",7.86533301829181e-14,2.75519546318312,"bladder-lumen"
"ENSMUSG00000090862",1.9249600120948e-38,9.37127173425945,"bladder-lumen"
"ENSMUSG00000030127",0.0241532701016595,1.58907826251091,"bladder-lumen"
"ENSMUSG00000020402",5.29465740257954e-08,1.62942449583879,"bladder-lumen"
"ENSMUSG00000002014",0.00610442210002418,2.50666210727474,"bladder-lumen"
"ENSMUSG00000026701",1.76362906632478e-10,1.31657889595138,"bladder-lumen"
"ENSMUSG00000022982",1.56379665453675e-31,9.86734640015609,"bladder-lumen"
"ENSMUSG00000019877",0.00595200543563124,4.92914572574522,"bladder-lumen"
"ENSMUSG00000029201",9.58959225499803e-14,1.71700336613382,"bladder-lumen"
"ENSMUSG00000029810",0.0126125280479128,1.22022880971959,"bladder-lumen"
"ENSMUSG00000041841",9.51230681115865e-19,12.5235526065565,"bladder-lumen"
"ENSMUSG00000021876",0.025971356687323,3.28982901925455,"bladder-lumen"
"ENSMUSG00000027808",1.5776176315156e-09,10.3567120726892,"bladder-lumen"
"ENSMUSG00000076432",1.14211777190062e-11,1.67131100501563,"bladder-lumen"
"ENSMUSG00000041959",0.00404129605478442,1.78959867030666,"bladder-lumen"
"ENSMUSG00000032966",0.000431307089340078,1.63100110918044,"bladder-lumen"
"ENSMUSG00000026864",1.19390371513212e-34,10.2309642498756,"bladder-lumen"
"ENSMUSG00000061518",5.36455864015519e-07,9.79479719840982,"bladder-lumen"
"ENSMUSG00000034566",2.12144824167274e-05,8.95104580080982,"bladder-lumen"
"ENSMUSG00000001627",0.00539296324165314,1.78233612928381,"bladder-lumen"
"ENSMUSG00000035569",0.0042863104344267,3.04016976701547,"bladder-lumen"
"ENSMUSG00000006356",0.000341921299178383,2.75897480185127,"bladder-lumen"
"ENSMUSG00000060802",0.000718540515332967,2.47990017414767,"bladder-lumen"
"ENSMUSG00000041126",0.0334139734658363,2.11579282597608,"bladder-lumen"
"ENSMUSG00000047547",8.18158671423744e-06,2.25491592721687,"bladder-lumen"
"ENSMUSG00000060743",1.63484573839352e-11,1.88408460373671,"bladder-lumen"
"ENSMUSG00000018770",5.08998488489879e-16,7.81125462612473,"bladder-lumen"
"ENSMUSG00000030654",2.68756685977673e-07,2.13518489062239,"bladder-lumen"
"ENSMUSG00000024712",0.000864729661695507,1.07364691998119,"bladder-lumen"
"ENSMUSG00000046223",0.000163513397971214,1.16619065733117,"bladder-lumen"
"ENSMUSG00000014313",4.07316060375001e-08,6.19602608304306,"bladder-lumen"
"ENSMUSG00000062825",4.05904230107293e-12,3.00927582351873,"bladder-lumen"
"ENSMUSG00000030754",0.024826259449643,1.19021223292133,"bladder-lumen"
"ENSMUSG00000035851",5.5549003396739e-08,1.88177003995005,"bladder-lumen"
"ENSMUSG00000041571",5.70273078288364e-10,2.23000307824263,"bladder-lumen"
"ENSMUSG00000007850",0.00490069804462569,2.4333505307546,"bladder-lumen"
"ENSMUSG00000009013",0.00039064783233141,1.87928774628865,"bladder-lumen"
"ENSMUSG00000024927",0.0187059533205228,1.2602285357851,"bladder-lumen"
"ENSMUSG00000028416",0.000202114744696361,4.13932229999961,"bladder-lumen"
"ENSMUSG00000032199",0.0175912308052871,2.17469217055122,"bladder-lumen"
"ENSMUSG00000020163",0.00714182635602719,4.53133547765256,"bladder-lumen"
"ENSMUSG00000068523",1.11848138863087e-11,11.2614744021412,"bladder-lumen"
"ENSMUSG00000057561",0.0122028142799307,1.06319169253658,"bladder-lumen"
"ENSMUSG00000057863",2.85982673482937e-27,18.1699681135163,"bladder-lumen"
"ENSMUSG00000028809",5.03732749030073e-09,3.7247295356698,"bladder-lumen"
"ENSMUSG00000070319",0.000958585086810775,4.25774264222118,"bladder-lumen"
"ENSMUSG00000073639",5.91535003429043e-07,2.03160045501854,"bladder-lumen"
"ENSMUSG00000044533",4.36038193268907e-32,1.04542032080322,"bladder-lumen"
"ENSMUSG00000076236",4.87437032370135e-58,19.2139195425119,"bladder-lumen"
"ENSMUSG00000024991",3.1540597998647e-06,1.38494677807219,"bladder-lumen"
"ENSMUSG00000025980",0.00302430867451756,1.41533403375417,"bladder-lumen"
"ENSMUSG00000047675",3.121205211075e-28,3.09703540561654,"bladder-lumen"
"ENSMUSG00000079426",2.53353383559737e-05,1.19179829258483,"bladder-lumen"
"ENSMUSG00000022312",1.50766182508749e-07,1.58727245956662,"bladder-lumen"
"ENSMUSG00000036751",6.05720218860558e-08,6.01704947363273,"bladder-lumen"
"ENSMUSG00000016534",6.26719219456636e-05,1.60503617721588,"bladder-lumen"
"ENSMUSG00000041560",3.77511860047072e-10,1.19126694742788,"bladder-lumen"
"ENSMUSG00000023004",7.83495310931314e-07,2.02918624081985,"bladder-lumen"
"ENSMUSG00000063882",4.89759264862911e-09,4.23120080435926,"bladder-lumen"
"ENSMUSG00000021477",4.31276127312754e-08,1.90888323949295,"bladder-lumen"
"ENSMUSG00000028452",2.11204126986604e-12,4.15682317455083,"bladder-lumen"
"ENSMUSG00000032359",0.000102063410091977,4.15250051375952,"bladder-lumen"
"ENSMUSG00000037563",2.3842023330571e-33,8.61443814585308,"bladder-lumen"
"ENSMUSG00000030751",0.00161905543540564,1.04613457826739,"bladder-lumen"
"ENSMUSG00000014077",0.000584619425394656,1.76313443125086,"bladder-lumen"
"ENSMUSG00000075706",2.26412621178686e-08,2.11975212525246,"bladder-lumen"
"ENSMUSG00000029994",6.60056115996508e-14,1.26463604369495,"bladder-lumen"
"ENSMUSG00000055762",1.73946640301257e-15,2.86550022668828,"bladder-lumen"
"ENSMUSG00000019179",1.19980919727062e-08,1.23808894288374,"bladder-lumen"
